City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la passe,45.5549,-0.8967,10.13,78,99,8.37,FR,1702493152
1,bredasdorp,-34.5322,20.0403,17.32,70,100,4.7,ZA,1702493153
2,ixtapa,20.7,-105.2,27.9,54,100,1.79,MX,1702493153
3,rasht,37.2808,49.5832,12.31,90,100,0.99,IR,1702493153
4,grytviken,-54.2811,-36.5092,3.24,97,100,3.28,GS,1702493153
5,albany,42.6001,-73.9662,4.21,60,50,0.45,US,1702492957
6,hamilton,39.1834,-84.5333,7.44,44,0,1.54,US,1702493153
7,bamboo flat,11.7,92.7167,28.05,78,20,2.06,IN,1702493153
8,biryusinsk,55.9634,97.8235,-29.34,95,92,1.66,RU,1702493153
9,avarua,-21.2078,-159.775,26.03,89,75,5.14,CK,1702493154
10,nova sintra,14.8667,-24.7167,21.71,66,100,4.36,CV,1702493079
11,jamestown,42.097,-79.2353,2.79,50,40,7.72,US,1702492928
12,surgana,20.5667,73.6167,19.65,58,93,2.52,IN,1702493154
13,kidal,18.4411,1.4078,20.81,15,43,4.12,ML,1702493154
14,gadzhiyevo,69.2551,33.3362,-17.67,100,90,4.24,RU,1702493154
15,hawaiian paradise park,19.5933,-154.9731,22.16,97,100,1.54,US,1702493154
16,inarajan village,13.2736,144.7484,28.08,88,18,8.07,GU,1702493154
17,veseloyarsk,51.2836,81.1056,-25.76,97,37,0.97,RU,1702493155
18,yermakovskoye,53.2831,92.4003,-29.65,100,51,1.48,RU,1702493155
19,talnakh,69.4865,88.3972,-23.96,97,100,3.91,RU,1702493155
20,ribeira grande,38.5167,-28.7,15.99,72,20,5.66,PT,1702493155
21,stanley,54.868,-1.6985,2.65,94,91,0.96,GB,1702493155
22,waitangi,-43.9535,-176.5597,10.46,90,89,4.92,NZ,1702493155
23,adamstown,-25.066,-130.1015,23.25,83,98,4.72,PN,1702493155
24,kenai,60.5544,-151.2583,-6.97,81,100,2.06,US,1702493155
25,mili,6.0815,171.735,27.88,82,100,9.93,MH,1702493156
26,les sables-d'olonne,46.6667,-1.8333,8.44,83,30,8.37,FR,1702493156
27,vallenar,-28.5708,-70.7581,32.56,24,8,4.18,CL,1702493156
28,farmville,37.3021,-78.3919,14.41,26,0,1.54,US,1702493156
29,leirvik,59.7798,5.5005,1.59,71,98,3.44,NO,1702493156
30,margaret river,-33.95,115.0667,12.96,77,38,4.05,AU,1702493156
31,smithers,54.7804,-127.1743,-0.82,93,100,0.0,CA,1702493156
32,lihue,21.9789,-159.3672,23.58,91,100,8.23,US,1702493156
33,longyearbyen,78.2186,15.6401,0.91,75,75,4.63,SJ,1702493157
34,antsiranana,-12.2787,49.2917,26.39,81,100,4.69,MG,1702493157
35,konarka,19.9,86.1167,17.22,62,100,1.78,IN,1702493157
36,college,64.8569,-147.8028,-14.03,80,100,0.0,US,1702493157
37,tura,25.5198,90.2201,13.44,64,0,0.89,IN,1702493157
38,levis,46.8033,-71.1779,-2.6,59,75,7.2,CA,1702493010
